#,title,videoUrl,videoId,publishedAt,position
1,1. Introduction to Algorithms,https://www.youtube.com/watch?v=0IAPZzGSbME&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=1,0IAPZzGSbME,2018-01-18T12:54:29Z,0
2,1.1 Priori Analysis and Posteriori Testing,https://www.youtube.com/watch?v=-JTq1BFBwmo&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=2,-JTq1BFBwmo,2018-03-04T21:22:17Z,1
3,1.2 Characteristics of Algorithm,https://www.youtube.com/watch?v=FbYzBWdhMb0&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=3,FbYzBWdhMb0,2018-01-18T12:54:57Z,2
4,1.3 How Write and Analyze Algorithm,https://www.youtube.com/watch?v=xGYsEqe9Vl0&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=4,xGYsEqe9Vl0,2018-01-18T12:55:26Z,3
5,1.4 Frequency Count Method,https://www.youtube.com/watch?v=1U3Uwct45IY&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=5,1U3Uwct45IY,2018-01-18T12:56:03Z,4
6,1.5.1 Time Complexity #1,https://www.youtube.com/watch?v=9TlHvipP5yA&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=6,9TlHvipP5yA,2018-01-18T12:56:27Z,5
7,1.5.2 Time Complexity Example #2,https://www.youtube.com/watch?v=9SgLBjXqwd4&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=7,9SgLBjXqwd4,2018-01-18T12:56:49Z,6
8,1.5.3 Time Complexity of While and if #3,https://www.youtube.com/watch?v=p1EnSvS3urU&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=8,p1EnSvS3urU,2018-02-01T11:54:14Z,7
9,1.6 Classes of functions,https://www.youtube.com/watch?v=w7t4_JUUTeg&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=9,w7t4_JUUTeg,2018-01-18T12:57:15Z,8
10,1.7 Compare Class of Functions,https://www.youtube.com/watch?v=5v-tKX2uRAk&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=10,5v-tKX2uRAk,2018-01-18T12:57:38Z,9
11,1.8.1 Asymptotic Notations Big Oh - Omega - Theta #1,https://www.youtube.com/watch?v=A03oI0znAoc&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=11,A03oI0znAoc,2018-01-18T12:57:58Z,10
12,1.8.2 Asymptotic Notations - Big Oh - Omega - Theta #2,https://www.youtube.com/watch?v=Nd0XDY-jVHs&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=12,Nd0XDY-jVHs,2018-01-18T12:58:17Z,11
13,1.9 Properties of Asymptotic Notations,https://www.youtube.com/watch?v=NI4OKSvGAgM&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=13,NI4OKSvGAgM,2018-01-19T04:17:24Z,12
14,1.10.1 Comparison of Functions #1,https://www.youtube.com/watch?v=mwN18xfwNhk&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=14,mwN18xfwNhk,2018-01-19T05:50:30Z,13
15,1.10.2 Comparison of Functions #2,https://www.youtube.com/watch?v=WlBBTSL0ZRc&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=15,WlBBTSL0ZRc,2018-01-19T06:01:04Z,14
16,1.11 Best Worst and Average Case Analysis,https://www.youtube.com/watch?v=lj3E24nnPjI&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=16,lj3E24nnPjI,2018-01-21T20:39:56Z,15
17,1.12 Disjoint Sets Data Structure - Weighted Union and Collapsing Find,https://www.youtube.com/watch?v=wU6udHRIkcc&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=17,wU6udHRIkcc,2018-04-04T17:51:26Z,16
18,2 Divide And Conquer,https://www.youtube.com/watch?v=2Rr2tW9zvRg&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=18,2Rr2tW9zvRg,2018-01-22T18:08:07Z,17
19,2.1.1 Recurrence Relation (T(n)= T(n-1) + 1) #1,https://www.youtube.com/watch?v=4V30R3I1vLI&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=19,4V30R3I1vLI,2018-01-22T19:21:24Z,18
20,2.1.2 Recurrence Relation (T(n)= T(n-1) + n) #2,https://www.youtube.com/watch?v=IawM82BQ4II&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=20,IawM82BQ4II,2018-01-23T20:43:09Z,19
21,2.1.3 Recurrence Relation (T(n)= T(n-1) + log n) #3,https://www.youtube.com/watch?v=MhT7XmxhaCE&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=21,MhT7XmxhaCE,2018-01-23T21:11:24Z,20
22,2.1.4 Recurrence Relation T(n)=2 T(n-1)+1  #4,https://www.youtube.com/watch?v=JvcqtZk2mng&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=22,JvcqtZk2mng,2018-01-24T18:53:59Z,21
23,2.2 Masters Theorem Decreasing Function,https://www.youtube.com/watch?v=CyknhZbfMqc&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=23,CyknhZbfMqc,2018-01-24T18:55:39Z,22
24,2.3.1 Recurrence Relation Dividing Function T(n)=T(n/2)+1 #1,https://www.youtube.com/watch?v=8gt0D0IqU5w&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=24,8gt0D0IqU5w,2018-01-24T19:01:33Z,23
25,2.3.2 Recurrence Relation Dividing [ T(n)=T(n/2)+ n].   #2,https://www.youtube.com/watch?v=XcZw01FuH18&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=25,XcZw01FuH18,2018-01-26T04:15:39Z,24
26,2.3.3 Recurrence Relation [ T(n)= 2T(n/2) +n]  #3,https://www.youtube.com/watch?v=1K9ebQJosvo&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=26,1K9ebQJosvo,2018-01-26T04:41:35Z,25
27,2.4.1 Masters Theorem in Algorithms for Dividing Function #1,https://www.youtube.com/watch?v=OynWkEj0S-s&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=27,OynWkEj0S-s,2018-01-26T06:44:24Z,26
28,2.4.2 Examples for Master Theorem #2,https://www.youtube.com/watch?v=kGcO-nAm9Vc&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=28,kGcO-nAm9Vc,2018-01-26T07:42:22Z,27
29,2.5 Root function (Recurrence Relation),https://www.youtube.com/watch?v=9rVuyjxzwgM&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=29,9rVuyjxzwgM,2018-01-26T04:50:38Z,28
30,2.6.1 Binary Search Iterative Method,https://www.youtube.com/watch?v=C2apEw9pgtw&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=30,C2apEw9pgtw,2018-01-29T20:22:51Z,29
31,2.6.2 Binary Search Recursive Method,https://www.youtube.com/watch?v=uEUXGcc2VXM&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=31,uEUXGcc2VXM,2018-01-29T20:15:11Z,30
32,2.6.3 Heap - Heap Sort - Heapify - Priority Queues,https://www.youtube.com/watch?v=HqPJF2L5h9U&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=32,HqPJF2L5h9U,2019-03-08T20:14:37Z,31
33,2.7.1  Two Way MergeSort - Iterative method,https://www.youtube.com/watch?v=6pV2IF0fgKY&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=33,6pV2IF0fgKY,2018-01-31T11:44:02Z,32
34,2.7.2.  Merge Sort Algorithm,https://www.youtube.com/watch?v=mB5HXBb_HY8&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=34,mB5HXBb_HY8,2018-01-31T11:58:58Z,33
35,2.7.3 MergeSort in-depth Analysis,https://www.youtube.com/watch?v=ak-pz7tS5DE&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=35,ak-pz7tS5DE,2018-02-01T21:02:32Z,34
36,2.8.1  QuickSort Algorithm,https://www.youtube.com/watch?v=7h1s2SojIRw&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=36,7h1s2SojIRw,2018-02-02T06:02:46Z,35
37,2.8.2 QuickSort Analysis,https://www.youtube.com/watch?v=-qOVVRIZzao&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=37,-qOVVRIZzao,2018-02-02T06:02:57Z,36
38,2.9 Strassens Matrix Multiplication,https://www.youtube.com/watch?v=0oJyNmEbS4w&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=38,0oJyNmEbS4w,2018-02-06T03:28:56Z,37
39,3. Greedy Method -  Introduction,https://www.youtube.com/watch?v=ARvQcqJ_-NY&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=39,ARvQcqJ_-NY,2018-02-06T19:08:54Z,38
40,3.1 Knapsack Problem - Greedy Method,https://www.youtube.com/watch?v=oTTzNMHM05I&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=40,oTTzNMHM05I,2018-02-06T20:11:14Z,39
41,3.2 Job Sequencing with Deadlines - Greedy Method,https://www.youtube.com/watch?v=zPtI8q9gvX8&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=41,zPtI8q9gvX8,2018-02-07T21:38:27Z,40
42,3.3 Optimal Merge Pattern - Greedy Method,https://www.youtube.com/watch?v=HHIc5JZyenI&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=42,HHIc5JZyenI,2018-02-07T21:23:01Z,41
43,3.4 Huffman Coding - Greedy Method,https://www.youtube.com/watch?v=co4_ahEDCho&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=43,co4_ahEDCho,2018-02-08T12:37:57Z,42
44,3.5 Prims and Kruskals Algorithms - Greedy Method,https://www.youtube.com/watch?v=4ZlRH0eK-qQ&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=44,4ZlRH0eK-qQ,2018-02-09T05:24:47Z,43
45,3.6 Dijkstra Algorithm - Single Source Shortest Path - Greedy Method,https://www.youtube.com/watch?v=XB4MIexjvY0&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=45,XB4MIexjvY0,2018-02-09T20:36:06Z,44
46,4 Principle  of Optimality  - Dynamic Programming introduction,https://www.youtube.com/watch?v=5dRGRueKU3M&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=46,5dRGRueKU3M,2018-02-16T10:32:32Z,45
47,4.1 MultiStage Graph - Dynamic Programming,https://www.youtube.com/watch?v=9iE9Mj4m8jk&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=47,9iE9Mj4m8jk,2018-02-16T10:47:52Z,46
48,4.1.1 MultiStage Graph (Program) - Dynamic Programming,https://www.youtube.com/watch?v=FcScLYJI42E&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=48,FcScLYJI42E,2018-03-04T20:31:53Z,47
49,4.2 All Pairs Shortest Path (Floyd-Warshall) - Dynamic Programming,https://www.youtube.com/watch?v=oNI0rf2P9gE&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=49,oNI0rf2P9gE,2018-02-16T10:45:38Z,48
50,4.3 Matrix Chain Multiplication - Dynamic Programming,https://www.youtube.com/watch?v=prx1psByp7U&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=50,prx1psByp7U,2018-02-16T10:48:53Z,49
51,[New] Matrix Chain Multiplication using Dynamic Programming Formula,https://www.youtube.com/watch?v=_WncuhSJZyA&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=51,_WncuhSJZyA,2019-05-12T16:10:36Z,50
52,4.3.1 Matrix Chain Multiplication (Program) - Dynamic Programming,https://www.youtube.com/watch?v=eKkXU3uu2zk&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=52,eKkXU3uu2zk,2018-03-05T19:56:11Z,51
53,4.4 Bellman Ford Algorithm - Single Source Shortest Path - Dynamic Programming,https://www.youtube.com/watch?v=FtN3BYH2Zes&list=PLDN4rrl48XKpZkf03iYFl-O29szjTrs_O&index=53,FtN3BYH2Zes,2018-02-16T11:37:57Z,52
